campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Men ComfortMax Launch,Adset-1 Retarget,2025-01-01,640.09,235597,4313.0,0.0183,80,1514.28,2.37,Image,Breathable organic cotton that moves with you â€” limited offer on men briefs.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-01-02,373.75,276194,5429.0,0.0197,94,4152.81,11.11,Video,No rideâ€‘up guarantee â€” bestâ€‘selling men briefs back in stock.,Broad,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-01-03,703.79,466572,9830.0,0.0211,240,4893.43,6.95,UGC,Cooling mesh panels for workouts â€” men boxers youâ€™ll actually love.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-04,441.5,193230,2424.0,0.0125,61,1330.1,3.01,Image,Cooling mesh panels for workouts â€” men athletic briefs youâ€™ll actually love.,Lookalike,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-01-05,,404300,6372.0,0.0158,181,7027.2,51.52,Video,Summerâ€‘ready essentials â€” sweatâ€‘wicking men athletic briefs.,Lookalike,Instagram,IN
Men Comfortmax Launch,Adset-1 Retarget,2025-01-06,579.03,180096,2356.0,0.0131,41,1545.67,2.67,Image,Breathable bamboo that moves with you â€” limited offer on men boxers.,Lookalike,Instagram,UK
Men Comfortmax Launch,Adset-1 Retarget,2025-01-07,1179.8,251885,4958.0,0.0197,102,3931.2,3.33,Carousel,Cooling mesh panels for workouts â€” men boxers youâ€™ll actually love.,Broad,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-01-08,362.78,24912,398.0,0.016,9,238.39,0.66,Image,Invisible under tees â€” seamless men boxers.,Lookalike,Instagram,UK
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-09,774.2,138640,3297.0,0.0238,70,1692.43,2.19,UGC,"Wireâ€‘free ease, cloudâ€‘soft cups â€” men inner vests that fits right.",Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-10,986.61,422525,7094.0,0.0168,198,7860.43,7.97,Image,No rideâ€‘up guarantee â€” bestâ€‘selling men trunks back in stock.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-01-11,1198.41,285985,4062.0,0.0142,90,2173.88,1.81,UGC,Seamless confidence for every day â€” new men athletic briefs.,Broad,Facebook,UK
